Key,Description,Standard,Chinese,TraditionalChinese
SAY.chapterFlow01.3953.主角,,得啦，你忙你的，不用管我。,Got it， you do your things， don't worry about me.,Got it， you do your things， don't worry about me.
SAY.chapterFlow01.4814.父亲,,阿南！,Ah Nan.,Ah Nan.
SAY.chapterFlow01.4815.主角,,干嘛？,What?,What?
SAY.chapterFlow01.5243.主角,,这是什么？,What's this?,What's this?
SAY.chapterFlow01.4816.父亲,,你小妹生了！,Your sister gave birth!,Your sister gave birth!
SAY.chapterFlow01.4817.父亲,,女娃仔！六斤六两！,Baby girl! 6 and a half kilos!,Baby girl! 6 and a half kilos!
SAY.chapterFlow01.4818.主角,,啊？,Ah?,Ah?
SAY.chapterFlow01.4819.主角,,什么时候？,When?,When?
SAY.chapterFlow01.4820.父亲,,两点多吧。,About 2?,About 2?
SAY.chapterFlow01.4821.旁白1,,两点十七分！,2:17!,2:17!
SAY.chapterFlow01.4822.父亲,,对，两点十七分。,Yeah， 2:17.,Yeah， 2:17.
SAY.chapterFlow01.4823.父亲,,你妹夫家手忙脚乱的，刚刚才得空打电话来。,They are so busy， they finally had time to call.,They are so busy， they finally had time to call.
SAY.chapterFlow01.4824.主角,,哦，那很好呀！,Oh， that's great!,Oh， that's great!
SAY.chapterFlow01.4825.父亲,,我做的这个婴儿背带，终于有用武之地啦！,I made a baby carrier， we can finally use it!,I made a baby carrier， we can finally use it!
SAY.chapterFlow01.4826.主角,,人家不会买个新的吗？,Won't they just buy a brand new one?,Won't they just buy a brand new one?
SAY.chapterFlow01.4827.主角,,还要用你自制的。,Why would they want one you made?,Why would they want one you made?
SAY.chapterFlow01.4828.父亲,,买的哪有做的合适？,The bought one won't fit as well as one you made.,The bought one won't fit as well as one you made.
SAY.chapterFlow01.4829.父亲,,我专门设计过的，半岁到五岁都可以用。,I designed this myself， can use it from 6 months till 5 years old.,I designed this myself， can use it from 6 months till 5 years old.
SAY.chapterFlow01.4830.主角,,谁三岁还用背带咧？,Who wants to be carried at 3?,Who wants to be carried at 3?
SAY.chapterFlow01.4831.父亲,,你懂什么？,What do you know?,What do you know?
SAY.chapterFlow01.4832.父亲,,荔荔啊！,Lili!,Lili!
SAY.chapterFlow01.4833.父亲,,你有个表妹咯！,You have a cousin now!,You have a cousin now!
SAY.chapterFlow01.4834.女儿,,什么？,What?,What?
SAY.chapterFlow01.4835.父亲,,你小姑生了个女儿！,Your auntie had a baby girl!,Your auntie had a baby girl!
SAY.chapterFlow01.4836.父亲,,你有表妹了！,You have a cousin!,You have a cousin!
SAY.chapterFlow01.4837.旁白1,,吃饭了！摆桌子！,Time to eat! Set the table!,Time to eat! Set the table!
SAY.chapterFlow01.4720.主角,,这牛有啥好看的？,Why stare at the cow?,Why stare at the cow?
SAY.chapterFlow01.4785.主角,,走啦。,Let's go.,Let's go.
SAY.chapterFlow01.4724.女儿,,我们是朋友。,We're friends.,We're friends.
SAY.chapterFlow01.4786.主角,,回去写你作业。,Time to go back to do your assignments.,Time to go back to do your assignments.
SAY.chapterFlow01.4787.女儿,,我不写。,I don't want to.,I don't want to.
SAY.chapterFlow01.4788.主角,,不可以不写！,You have to!,You have to!
SAY.chapterFlow01.4789.主角,,你是学生，完成作业是你的任务！,You are a student， completing assignments is your mission!,You are a student， completing assignments is your mission!
SAY.chapterFlow01.4790.女儿,,我不想写！,I don't want to!,I don't want to!
SAY.chapterFlow01.4791.主角,,老师刚讲你成绩差，是因为什么？,The teacher said your grades are bad， do you know why?,The teacher said your grades are bad， do you know why?
SAY.chapterFlow01.4792.主角,,平时不做作业，考试的时候你就不会。,You don't do homework， so when they give you a test， you don't know how to do it.,You don't do homework， so when they give you a test， you don't know how to do it.
SAY.chapterFlow01.4793.主角,,读书想读好，必须要写作业。,You have to study， and do your homework.,You have to study， and do your homework.
SAY.chapterFlow01.4794.女儿,,我也不想读书！,I don't want to study!,I don't want to study!
SAY.chapterFlow01.4795.女儿,,读书不好玩。,Studying isn't fun.,Studying isn't fun.
SAY.chapterFlow01.4796.主角,,读书就不是为了好玩，是为了学东西。,Studying isn't for fun， it's for learning.,Studying isn't for fun， it's for learning.
SAY.chapterFlow01.4797.女儿,,我不喜欢。,I don't like it.,I don't like it.
SAY.chapterFlow01.4798.主角,,不管你喜不喜欢。,I don't care if you like it or not.,I don't care if you like it or not.
SAY.chapterFlow01.4799.主角,,回去写作业！快点！,Go back and do your homework! Now!,Go back and do your homework! Now!
SAY.chapterFlow01.4801.主角,,听见咩！？,Do you hear me?!,Do you hear me?!
SAY.chapterFlow01.4803.主角,,覃茁荔！,Qin Zhuoli!,Qin Zhuoli!
SAY.chapterFlow01.4808.主角,,你再扔东西试试！？,Throw something again!,Throw something again!
SAY.chapterFlow01.4809.主角,,自己做错事还这么恶！,You did something wrong and you still act up!,You did something wrong and you still act up!
SAY.chapterFlow01.4810.女儿,,我不要写作业——,I don't wanna-,I don't wanna-
SAY.chapterFlow01.4811.女儿,,我不写我不写我不写！,Not gonna not gonna not gonna!,Not gonna not gonna not gonna!
SAY.chapterFlow01.4908.主角,,干嘛哭咧？,Why are you crying?,Why are you crying?
SAY.chapterFlow01.4912.女儿,,呃呃呃——,Wahhhh-,Wahhhh-
SAY.chapterFlow01.4913.主角,,地主妹。,Kid.,Kid.
SAY.chapterFlow01.4914.女儿,,呃嗷——,Sob-,Sob-
SAY.chapterFlow01.4973.女儿,,嗷——,Wah-,Wah-
SAY.chapterFlow01.4974.主角,,到底什么事？你先告诉我们啊。,What's wrong? Just talk to us.,What's wrong? Just talk to us.
SAY.chapterFlow01.4975.女儿,,我的魔法棒——,My magic wand-,My magic wand-
SAY.chapterFlow01.4976.女儿,,不见了——,it's gone-,it's gone-
SAY.chapterFlow01.4977.主角,,……什么棒？,...What?,...What?
SAY.chapterFlow01.4978.女儿,,魔法棒——,Magic Wand-,Magic Wand-
SAY.chapterFlow01.4979.女儿,,妈妈给我做的魔法棒——,The one Mommy made me-,The one Mommy made me-
SAY.chapterFlow01.4980.父亲,,哦，小凤做的玩具。,Oh， the toy Xiao Feng made.,Oh， the toy Xiao Feng made.
SAY.chapterFlow01.5244.父亲,,那也是木头的吧？跟这几个差不多。,That's wood too right? Like these?,That's wood too right? Like these?
SAY.chapterFlow01.4982.女儿,,嗯——,Yeah-,Yeah-
SAY.chapterFlow01.4983.母亲,,玩具不都放在厅里吗？,Don't we put all the toys in the living room?,Don't we put all the toys in the living room?
SAY.chapterFlow01.4984.母亲,,有拿去过别处咩？,Did you take it somewhere else?,Did you take it somewhere else?
SAY.chapterFlow01.4985.女儿,,没有——,No-,No-
SAY.chapterFlow01.4986.女儿,,中午我还见过的——,I saw it earlier today-,I saw it earlier today-
SAY.chapterFlow01.4987.女儿,,呜——,Sob-,Sob-
SAY.chapterFlow01.4989.主角,,这几个抽屉找过没有？,Did you look in the drawers?,Did you look in the drawers?
SAY.chapterFlow01.4990.女儿,,找过了——,Yes-,Yes-
SAY.chapterFlow01.4991.女儿,,没有——,It's gone-,It's gone-
SAY.chapterFlow01.4992.主角,,你的魔法棒长什么样？,What does it look like?,What does it look like?
SAY.chapterFlow01.4993.女儿,,这么长的——,It's this long-,It's this long-
SAY.chapterFlow01.4994.女儿,,很漂亮的——,Very pretty-,Very pretty-
SAY.chapterFlow01.4995.女儿,,头头有颗五角星——,Has a star on top-,Has a star on top-
SAY.chapterFlow01.4996.主角,,莫哭了，我帮你找。,Don't cry， I'll help you find it.,Don't cry， I'll help you find it.
SAY.chapterFlow01.4997.主角,,这家里面又没有别人，不可能丢的。,There's no one else here， no way it could be lost.,There's no one else here， no way it could be lost.
SAY.chapterFlow01.4998.母亲,,对啊，荔荔。,Yeah， Lili.,Yeah， Lili.
SAY.chapterFlow01.4999.母亲,,阿公阿奶也一起去找，会找到的。,Grandma and Grandpa will also look for it， we'll find it.,Grandma and Grandpa will also look for it， we'll find it.
SAY.chapterFlow01.5000.女儿,,呜呜呜呜——,Sob-,Sob-
SAY.chapterFlow01.5001.主角,,喂？,Hello?,Hello?
SAY.chapterFlow01.5002.旁白1,,喂……,Hi....,Hi....
SAY.chapterFlow01.5003.旁白1,,咳咳，咳咳。,Cough cough， cough cough.,Cough cough， cough cough.
SAY.chapterFlow01.5004.旁白1,,咳咳，吭——,Cough， Hurrrrk-,Cough， Hurrrrk-
SAY.chapterFlow01.5005.主角,,……,……,……
SAY.chapterFlow01.5006.主角,,老四吗？,Lao Si?,Lao Si?
SAY.chapterFlow01.5007.旁白1,,阿南？你回来啦？,Ah Nan? You're back?,Ah Nan? You're back?
SAY.chapterFlow01.5008.主角,,做什么？,What's up?,What's up?
SAY.chapterFlow01.5009.旁白1,,你家芝麻卷叼了根木棍子来我门口。,Sesame came by with a wooden stick at my door.,Sesame came by with a wooden stick at my door.
SAY.chapterFlow01.5010.旁白1,,看起来像荔荔的玩具，所以问一下你们。,Looks like Lili's toy， so I wanted to ask you.,Looks like Lili's toy， so I wanted to ask you.
SAY.chapterFlow01.5011.主角,,是有颗五角星的咩？,Does it have a star on it?,Does it have a star on it?
SAY.chapterFlow01.5012.旁白1,,是啊。,Yeah.,Yeah.
SAY.chapterFlow01.5013.主角,,那对了，我正找着呢，这个蠢狗。,That's it， we're looking for it， dumb dog.,That's it， we're looking for it， dumb dog.
SAY.chapterFlow01.5014.主角,,没挨咬烂吧？,Didn't chew it up right?,Didn't chew it up right?
SAY.chapterFlow01.5015.旁白1,,没有，我捡起来了。,Nah， I picked it up.,Nah， I picked it up.
SAY.chapterFlow01.5016.主角,,我马上过去。,I'll go get it.,I'll go get it.
SAY.chapterFlow01.5041.冬夕,,咳咳——咳。,Cough- Cough.,Cough- Cough.
SAY.chapterFlow01.5042.主角,,下午路过没见到你。,Didn't see you this afternoon.,Didn't see you this afternoon.
SAY.chapterFlow01.5043.冬夕,,去钓鱼了。,Went fishing.,Went fishing.
SAY.chapterFlow01.5044.主角,,当老板当得这么轻松。,It's that easy being the boss?,It's that easy being the boss?
SAY.chapterFlow01.5045.冬夕,,在厂里也没事做啊。,Nothing to do in the factory.,Nothing to do in the factory.
SAY.chapterFlow01.5046.冬夕,,总不能我来锯木头吧？那还请什么工人？,I can't be the one sawing all the time right? Why would I hire people then?,I can't be the one sawing all the time right? Why would I hire people then?
SAY.chapterFlow01.5047.冬夕,,这回在家待几天？,How many days are you staying this time?,How many days are you staying this time?
SAY.chapterFlow01.5048.主角,,不晓得，估计蛮久的。,Not sure， probably a while.,Not sure， probably a while.
SAY.chapterFlow01.5049.冬夕,,咳咳。,Cough.,Cough.
SAY.chapterFlow01.5050.冬夕,,那跟我去钓鱼。,Come fishing with me.,Come fishing with me.
SAY.chapterFlow01.5051.主角,,不去。,No.,No.
SAY.chapterFlow01.5052.主角,,憨兮兮地，拿着根鱼竿在那儿等，没意思。,You look so silly just sitting there with a pole， not interesting.,You look so silly just sitting there with a pole， not interesting.
SAY.chapterFlow01.5053.冬夕,,不比你拿方向盘傻坐着有意思多了？,So you sitting and holding the steering wheel is more interesting?,So you sitting and holding the steering wheel is more interesting?
SAY.chapterFlow01.5057.主角,,回家好咩？,Let's go home， yeah?,Let's go home， yeah?
SAY.chapterFlow01.5058.主角,,夜了，天有点凉，不要在外面呆太久。,It's night， a bit chilly， let's not stay out long.,It's night， a bit chilly， let's not stay out long.
SAY.chapterFlow01.5059.女儿,,阿爸。,Daddy.,Daddy.
SAY.chapterFlow01.5063.主角,,干嘛？,What?,What?
SAY.chapterFlow01.5064.女儿,,芝麻卷它，是不是在找妈妈呀？,Is Sesame...looking for Mommy?,Is Sesame...looking for Mommy?
SAY.chapterFlow01.5065.主角,,……,……,……
SAY.chapterFlow01.5068.女儿,,妈妈和我以前总在这里跟它玩。,Mommy and I used to play with him here.,Mommy and I used to play with him here.
SAY.chapterFlow01.5069.女儿,,它是以为她在这里吗？,Does Sesame think she's here?,Does Sesame think she's here?
SAY.chapterFlow01.5070.女儿,,所以想带上魔法棒过来找她。,That's why they brought the stick here to look for her?,That's why they brought the stick here to look for her?
SAY.chapterFlow01.5071.主角,,可能是吧。,Maybe.,Maybe.
SAY.chapterFlow01.5072.女儿,,人死了会去哪里呢？,Where do people go when they die?,Where do people go when they die?
SAY.chapterFlow01.5073.主角,,我也不知道。,I don't know either.,I don't know either.
SAY.chapterFlow01.5074.女儿,,你有找过妈妈吗？,Have you looked for Mommy?,Have you looked for Mommy?
SAY.chapterFlow01.5075.主角,,找过。,Yeah.,Yeah.
SAY.chapterFlow01.5076.女儿,,你有找到吗？,Did you find her?,Did you find her?
SAY.chapterFlow01.5077.主角,,没有。,No.,No.
SAY.chapterFlow01.5078.主角,,到处都找遍了，哪里都找不到。,I looked for her everywhere， couldn't find her.,I looked for her everywhere， couldn't find her.
SAY.chapterFlow01.5082.主角,,你真的要养那只狗？,You really want to take in that dog.,You really want to take in that dog.
SAY.chapterFlow01.5115.黎芸凤,,嗯。,Yeah.,Yeah.
SAY.chapterFlow01.5116.主角,,你不是怕狗吗？,Aren't you afraid of dogs?,Aren't you afraid of dogs?
SAY.chapterFlow01.5117.黎芸凤,,可是我看它很可怜啊！,It looks so sad though.,It looks so sad though.
SAY.chapterFlow01.5118.黎芸凤,,这么小就在流浪。,Just wandering around since it was a puppy.,Just wandering around since it was a puppy.
SAY.chapterFlow01.5119.黎芸凤,,自己一个，又没吃的。,All alone， nothing to eat.,All alone， nothing to eat.
SAY.chapterFlow01.5120.主角,,你高兴咯，我没意见。,If you're happy， I have no objections.,If you're happy， I have no objections.
SAY.chapterFlow01.5121.黎芸凤,,这样荔荔还能有个伴。,This way Lili can have someone to play with,This way Lili can have someone to play with
SAY.chapterFlow01.5122.黎芸凤,,她身体不好，不能像别的小朋友那样玩耍。,She's not able to play like other kids.,She's not able to play like other kids.
SAY.chapterFlow01.5123.黎芸凤,,在家养个宠物，就不会那么寂寞了。,So with a pet， she'll feel less lonely.,So with a pet， she'll feel less lonely.
SAY.chapterFlow01.5124.主角,,可以啊。,Sure.,Sure.
SAY.chapterFlow01.5125.黎芸凤,,你为什么拿我的东西？,Why did you take my things?,Why did you take my things?
SAY.chapterFlow01.5126.主角,,这是你的？,This is yours?,This is yours?
SAY.chapterFlow01.5127.黎芸凤,,对啊。,Yeah.,Yeah.
SAY.chapterFlow01.5128.主角,,那干嘛丢在电视机上？,Then why'd you put it on the TV?,Then why'd you put it on the TV?
SAY.chapterFlow01.5129.黎芸凤,,哦，刚才在打扫卫生，忘记放回去了。,Oh， I was just cleaning and put it there， forgot to put it back.,Oh， I was just cleaning and put it there， forgot to put it back.
SAY.chapterFlow01.5130.主角,,是啥呀？,What is it?,What is it?
SAY.chapterFlow01.5131.黎芸凤,,讲义夹。,It's a binder.,It's a binder.
SAY.chapterFlow01.5132.黎芸凤,,用来装散张的纸的。,For holding loose paper.,For holding loose paper.
SAY.chapterFlow01.5133.主角,,封面都发黄了。,The cover is yellowed.,The cover is yellowed.
SAY.chapterFlow01.5134.黎芸凤,,好多年咯，读书的时候我爸给我买的。,Yeah it's been years， my dad bought it when I was studying.,Yeah it's been years， my dad bought it when I was studying.
SAY.chapterFlow01.5138.UI旁白1,,几时拍的照片？,When was this picture taken?,When was this picture taken?
SAY.chapterFlow01.5139.UI旁白2,,我读县高的时候。,When I was studying in the County High School.,When I was studying in the County High School.
SAY.chapterFlow01.5140.UI旁白1,,对哦，你读的是县高。,Oh yeah， you went to the County High School.,Oh yeah， you went to the County High School.
SAY.chapterFlow01.5141.UI旁白1,,我两年都在公社读的。,My two years were at the commune.,My two years were at the commune.
SAY.chapterFlow01.5142.UI旁白2,,我晓得。,I know.,I know.
SAY.chapterFlow01.5143.UI旁白2,,只有成绩好的才挨选去县高。,Only the ones with good grades got to go to County.,Only the ones with good grades got to go to County.
SAY.chapterFlow01.5144.UI旁白1,,你了不起。,You're amazing.,You're amazing.
SAY.chapterFlow01.5145.UI旁白2,,哎呀，那时候没过塑，磨损得厉害。,Ah， this is an old photo that hasn't gone through plasticization， so it's pretty damaged.,Ah， this is an old photo that hasn't gone through plasticization， so it's pretty damaged.
SAY.chapterFlow01.5146.UI旁白1,,哪个是你？,Which one is you?,Which one is you?
SAY.chapterFlow01.5147.UI旁白2,,你看不出来咯！？,You can't tell?!,You can't tell?!
SAY.chapterFlow01.5148.UI旁白1,,眯眼睛那个？,The one with the squinting eyes?,The one with the squinting eyes?
SAY.chapterFlow01.5149.UI旁白2,,对啦！,Yeah!,Yeah!
SAY.chapterFlow01.5155.UI旁白1,,猪肉一斤，切丝……,One kilo of pork， cut into strips.,One kilo of pork， cut into strips.
SAY.chapterFlow01.5169.UI旁白1,,盐，酱油，生粉，抓打均匀……,Salt， soy sauce， potato starch， mix it up...,Salt， soy sauce， potato starch， mix it up...
SAY.chapterFlow01.5171.UI旁白1,,红萝卜和木耳切细……,Cut the wood ear and carrots into thin strips....,Cut the wood ear and carrots into thin strips....
SAY.chapterFlow01.5170.UI旁白1,,你写的啥呀？菜谱吗？,What are you writing? A recipe?,What are you writing? A recipe?
SAY.chapterFlow01.5156.UI旁白2,,对啊，报纸上抄来的！,Yeah， one from the news paper.,Yeah， one from the news paper.
SAY.chapterFlow01.5172.UI旁白2,,鱼香肉丝。,Yuxiang Shredded Pork.,Yuxiang Shredded Pork.
SAY.chapterFlow01.5173.UI旁白1,,哪会放红萝卜的咧？放莴笋！,Who puts carrots? You use celtuce!,Who puts carrots? You use celtuce!
SAY.chapterFlow01.5174.UI旁白1,,我在四川吃过。,I had it in Sichuan.,I had it in Sichuan.
SAY.chapterFlow01.5175.UI旁白2,,报纸就是这样写的！,That's what they wrote in the paper!,That's what they wrote in the paper!
SAY.chapterFlow01.5176.UI旁白1,,你这报纸不正宗。,The paper isn't authentic.,The paper isn't authentic.
SAY.chapterFlow01.5177.UI旁白2,,做成了你尝尝再说！,Say that after you've tried it.,Say that after you've tried it.
SAY.chapterFlow01.5178.UI旁白2,,管他正不正宗，味道好就行。,Who cares if it's authentic， as long as it tastes good.,Who cares if it's authentic， as long as it tastes good.
SAY.chapterFlow01.5179.UI旁白1,,要得。,Sure.,Sure.
SAY.chapterFlow01.5182.UI旁白1,,记个账还要画图？,You have to draw along with it?,You have to draw along with it?
SAY.chapterFlow01.5186.UI旁白2,,这样好看啊。,That way it looks better.,That way it looks better.
SAY.chapterFlow01.5188.UI旁白1,,肉，鱼，菜……,Meat， Fish， vegetables...,Meat， Fish， vegetables...
SAY.chapterFlow01.5189.UI旁白1,,这是鸡蛋还是马铃薯？,Is this an egg or potato?,Is this an egg or potato?
SAY.chapterFlow01.5190.UI旁白2,,马铃薯。,Potato.,Potato.
SAY.chapterFlow01.5192.UI旁白2,,鸡蛋不买了，妈说我们养的鸡会下蛋的。,Don't need to buy eggs， my mom says our chickens will lay them.,Don't need to buy eggs， my mom says our chickens will lay them.
SAY.chapterFlow01.5194.UI旁白1,,五角，七角，一块五，三角……,50 cents， 70 cents， buck 50， 30 cents...,50 cents， 70 cents， buck 50， 30 cents...
SAY.chapterFlow01.5197.UI旁白1,,不便宜啊。,This ain't cheap.,This ain't cheap.
SAY.chapterFlow01.5198.UI旁白2,,我要学会讲价！太薄了我的脸皮！,I want to learn to haggle! I'm too shy!,I want to learn to haggle! I'm too shy!
SAY.chapterFlow01.5199.UI旁白1,,讲多几次就习惯了。,Just keep trying， you'll get better.,Just keep trying， you'll get better.
SAY.chapterFlow01.5200.UI旁白1,,右边这几句又是什么？,What's this on the right?,What's this on the right?
SAY.chapterFlow01.5201.UI旁白2,,我的买菜心得。,My thoughts on buying groceries.,My thoughts on buying groceries.
SAY.chapterFlow01.5211.UI旁白2,,人家跟我讲的。,What people told me.,What people told me.
SAY.chapterFlow01.5203.UI旁白1,,我看看写了啥。,Let me see.,Let me see.
SAY.chapterFlow01.5204.UI旁白1,,那种小冻鱼叫剥皮鱼。,The tiny frozen fish are called black scrapers.,The tiny frozen fish are called black scrapers.
SAY.chapterFlow01.5205.UI旁白1,,很划算，味道也不错。,It's economical， and tastes good.,It's economical， and tastes good.
SAY.chapterFlow01.5206.UI旁白1,,想买活鱼要早点去。,Live fish is cheaper early.,Live fish is cheaper early.
SAY.chapterFlow01.5207.UI旁白1,,市场路口大盆子卖的，比鱼摊的便宜。,Cheaper fish in the large buckets.,Cheaper fish in the large buckets.
SAY.chapterFlow01.5208.UI旁白1,,青菜反过来，晚点再去可以捡漏。,Vegetables are cheaper later.,Vegetables are cheaper later.
SAY.chapterFlow01.5209.UI旁白1,,……,……,……
SAY.chapterFlow01.5210.UI旁白1,,这种话有什么好记的？个个都晓得。,What's so necessary about writing this down?,What's so necessary about writing this down?
SAY.chapterFlow01.5202.UI旁白2,,你莫管，我就要记！,Leave me alone， I want to write it down!,Leave me alone， I want to write it down!
SAY.chapterFlow01.5212.UI旁白2,,省下钱，多买点苹果给地主妹吃。,Save some money， buy some apples for the kid.,Save some money， buy some apples for the kid.
SAY.chapterFlow01.5213.UI旁白2,,娃仔要多吃水果。,Kids need to eat more fruit.,Kids need to eat more fruit.
SAY.chapterFlow01.5214.UI旁白1,,下回跑长途经过广东，我买罐奶粉回来。,I'll get formula from Guangdong.,I'll get formula from Guangdong.
SAY.chapterFlow01.5215.UI旁白1,,听讲那边的奶粉好。,Hear it's good there.,Hear it's good there.
SAY.chapterFlow01.5216.UI旁白2,,可以啊。,Sure.,Sure.
SAY.chapterFlow01.5219.旁白1,,喂。,Hey.,Hey.
SAY.chapterFlow01.5218.主角,,喂。,Hey.,Hey.
SAY.chapterFlow01.5239.主角,,老四，是我。,Lao Si， it's me.,Lao Si， it's me.
SAY.chapterFlow01.5220.旁白1,,做什么？,What's up?,What's up?
SAY.chapterFlow01.5221.旁白1,,咳咳，吭——,Cough， ugh-,Cough， ugh-
SAY.chapterFlow01.5240.旁白1,,想去钓鱼了吗？,Wanna go fishing? ,Wanna go fishing? 
SAY.chapterFlow01.5222.主角,,钓个屁。,Fish my ass.,Fish my ass.
SAY.chapterFlow01.5223.主角,,你认识人咩？帮我问问镇上有没有要拉货的？,Do you know people? Asking to see if anyone you know needs delivery.,Do you know people? Asking to see if anyone you know needs delivery.
SAY.chapterFlow01.5224.旁白1,,你要干嘛？,What do you want?,What do you want?
SAY.chapterFlow01.5225.主角,,这阵子不想跑长途了。,I don't want to drive long haul anymore.,I don't want to drive long haul anymore.
SAY.chapterFlow01.5241.主角,,打算在附近随便做做，歇一下。,I'm gonna change to just doing local routes， take a break.,I'm gonna change to just doing local routes， take a break.
SAY.chapterFlow01.5226.旁白1,,那还不简单？,That's easy.,That's easy.
SAY.chapterFlow01.5227.旁白1,,联系好了我跟你讲。,I'll let you know when I find someone.,I'll let you know when I find someone.
SAY.wangyoumu.29.王有亩,,兄弟，问你一个问题。,Bro， lemme ask you a question.,Bro， lemme ask you a question.
SAY.wangyoumu.70.主角,,什么？,What?,What?
SAY.wangyoumu.71.王有亩,,一个谚语。,A proverb.,A proverb.
SAY.wangyoumu.72.王有亩,,“摸簸箕当天。”,“Touch the winnow basket and think it's the sky.”,“Touch the winnow basket and think it's the sky.”
SAY.wangyoumu.73.王有亩,,你晓得什么意思咩？,What do you think it means?,What do you think it means?
SAY.wangyoumu.74.主角,,不晓得。,No idea.,No idea.
SAY.wangyoumu.75.主角,,什么意思？,What's it mean?,What's it mean?
SAY.wangyoumu.76.王有亩,,我不懂才问你啊。,I'm asking you.,I'm asking you.
SAY.wangyoumu.77.王有亩,,有人讲跟“盲人摸象”是一个意思。,Someone said it's like a “Blind person touching the elephant”.,Someone said it's like a “Blind person touching the elephant”.
SAY.wangyoumu.78.王有亩,,没见过世面，摸到簸箕就以为是天空。,Haven't seen the world， think that touching the winnowing basket is the sky.,Haven't seen the world， think that touching the winnowing basket is the sky.
SAY.wangyoumu.79.王有亩,,还有人讲，是把废物当宝贝的意思。,Some say， it's like valuing something worthless.,Some say， it's like valuing something worthless.
SAY.wangyoumu.80.王有亩,,一个簸箕看得像天一样重要。,Valuing a winnowing basket like the heavens.,Valuing a winnowing basket like the heavens.
SAY.wangyoumu.81.王有亩,,你觉得呢？,What do you think?,What do you think?
SAY.wangyoumu.82.主角,,我真的没听过，不懂。,I've never heard of it before， I don't know.,I've never heard of it before， I don't know.
SAY.wangyoumu.83.王有亩,,那天我放了碗啤酒在桌子上面。,I put my beer on the table one day.,I put my beer on the table one day.
SAY.wangyoumu.84.王有亩,,我仔以为是茶，喝了。,My kid thought it was tea and drank it.,My kid thought it was tea and drank it.
SAY.wangyoumu.85.王有亩,,醉了一个晚夜。,He was drunk all night.,He was drunk all night.
SAY.wangyoumu.86.王有亩,,七岁，他第一次喝酒。,Seven， his first time drinking beer.,Seven， his first time drinking beer.
SAY.wangyoumu.87.王有亩,,一碗没有气的啤酒。,A giant thing of flat beer.,A giant thing of flat beer.
SAY.wangyoumu.88.王有亩,,那天给我仔买了把剑。,I bought a sword the other day.,I bought a sword the other day.
SAY.wangyoumu.89.王有亩,,塑料的，展护卫的。,A plastic one， like Guard Zhan Zhao.,A plastic one， like Guard Zhan Zhao.
SAY.wangyoumu.90.王有亩,,耍了两天，断了。,He played with it for two days， broke it.,He played with it for two days， broke it.
SAY.wangyoumu.91.王有亩,,那天从朋友家拿了一个上发条的直升机玩具。,Another day I borrowed a wind up helicopter toy from my friend's place.,Another day I borrowed a wind up helicopter toy from my friend's place.
SAY.wangyoumu.92.王有亩,,回家送给我仔。,Gave it to my kid when I got home.,Gave it to my kid when I got home.
SAY.wangyoumu.93.王有亩,,玩了十分钟，拆散了。,After playing it for 10 minutes， he took it apart.,After playing it for 10 minutes， he took it apart.
SAY.wangyoumu.94.王有亩,,我打了他三十分钟。,I beat him for thirty minutes.,I beat him for thirty minutes.
SAY.wangyoumu.95.王有亩,,那天我仔去玩弹珠。,Another day my kid went to play marbles.,Another day my kid went to play marbles.
SAY.wangyoumu.96.王有亩,,被一个大娃仔赢完了。,He lost to another bigger kid.,He lost to another bigger kid.
SAY.wangyoumu.97.王有亩,,他不服气，拿石头去砸人家家招牌。,He was sore about it， so he took a rock to their family shop's sign.,He was sore about it， so he took a rock to their family shop's sign.
SAY.wangyoumu.98.王有亩,,我打了他半天，再捉他去跟人家道歉。,Beat him for half a day， then dragged him to apologize.,Beat him for half a day， then dragged him to apologize.
SAY.wangyoumu.99.王有亩,,那天小舅子带来一个透明的风筝，特别漂亮。,My brother in law brought in a see through kite one day.,My brother in law brought in a see through kite one day.
SAY.wangyoumu.100.王有亩,,他送给了我仔。,Gave it to my kid to play.,Gave it to my kid to play.
SAY.wangyoumu.101.王有亩,,我仔拿去飞了几天。,He went to fly it a few days.,He went to fly it a few days.
SAY.wangyoumu.102.王有亩,,后来我仔听他学校同学起哄，把风筝砸了。,Then I hear he was messing around with fellow students at school， broke the kite.,Then I hear he was messing around with fellow students at school， broke the kite.
SAY.wangyoumu.103.王有亩,,他砸完自己在哭。,He was crying.,He was crying.
SAY.wangyoumu.104.王有亩,,我没有打他。,I didn't beat him.,I didn't beat him.
SAY.wangyoumu.105.王有亩,,小舅子买了新的给他，再搞坏我就收拾他。,Brother in law bought a new one， if he breaks it again I'll take care of him.,Brother in law bought a new one， if he breaks it again I'll take care of him.
SAY.chapterFlow02.1.女儿,,阿爸。,Dad.,Dad.
SAY.chapterFlow02.5311.女儿,,这里到底是叫芷滨镇，还是芷滨乡啊？,Is this Zhibin Town， or Zhibin Village?,Is this Zhibin Town， or Zhibin Village?
SAY.chapterFlow02.5312.主角,,几年前还叫芷滨乡的。,A few years ago， we called it Zhibin Village.,A few years ago， we called it Zhibin Village.
SAY.chapterFlow02.5313.主角,,后来改成镇了。,Then it became a Town.,Then it became a Town.
SAY.chapterFlow02.5314.女儿,,有什么不同？,What's the difference?,What's the difference?
SAY.chapterFlow02.5315.主角,,我也不清楚。,I don't really know,I don't really know
